age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
35,services,married,high.school,unknown,no,no,telephone,jun,wed,173,14,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
30,student,single,professional.course,no,yes,no,cellular,sep,tue,282,2,6,1,success,-1.1,94.199,-37.5,0.88,4963.6
37,self-employed,single,basic.4y,no,yes,no,cellular,may,mon,180,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
31,blue-collar,single,professional.course,no,no,no,cellular,may,tue,314,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
31,technician,married,university.degree,no,unknown,unknown,cellular,aug,wed,88,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
52,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,205,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
48,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,311,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
46,admin.,married,high.school,unknown,yes,no,cellular,may,wed,293,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1
35,services,divorced,university.degree,no,yes,no,cellular,may,mon,215,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
58,technician,divorced,professional.course,no,no,no,cellular,aug,fri,75,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38,entrepreneur,married,basic.9y,no,yes,yes,cellular,may,fri,476,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
35,blue-collar,divorced,basic.6y,unknown,no,no,telephone,jun,fri,81,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
38,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,64,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
40,blue-collar,divorced,basic.9y,no,no,no,cellular,nov,fri,586,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
31,blue-collar,married,basic.9y,no,no,yes,cellular,nov,mon,213,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8
39,management,married,high.school,no,no,no,telephone,may,fri,205,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
31,admin.,married,high.school,no,unknown,unknown,cellular,may,tue,213,6,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
43,admin.,married,high.school,no,yes,no,telephone,may,wed,121,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
37,admin.,married,university.degree,no,yes,no,telephone,may,mon,245,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
33,technician,married,high.school,no,no,no,telephone,may,tue,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
33,technician,divorced,professional.course,no,yes,no,cellular,nov,thu,104,3,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8
53,blue-collar,married,high.school,unknown,yes,no,cellular,apr,mon,354,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
47,admin.,married,university.degree,no,yes,no,cellular,nov,fri,45,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8
29,services,married,basic.6y,no,no,no,cellular,nov,wed,314,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8
29,admin.,single,university.degree,no,yes,no,telephone,may,fri,22,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
27,technician,single,unknown,no,yes,no,cellular,jul,fri,238,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
59,admin.,married,university.degree,no,yes,no,telephone,may,fri,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
54,blue-collar,married,basic.4y,no,no,no,cellular,aug,tue,146,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,self-employed,divorced,university.degree,no,no,no,cellular,nov,tue,349,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,373,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
46,technician,married,professional.course,no,no,no,cellular,may,tue,87,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
31,services,married,basic.6y,unknown,no,no,telephone,may,tue,1001,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
31,blue-collar,married,unknown,unknown,no,no,cellular,jul,tue,1608,13,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
35,technician,married,professional.course,no,yes,no,cellular,jul,thu,570,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
25,admin.,single,university.degree,no,yes,yes,cellular,may,tue,82,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
33,admin.,married,university.degree,no,no,no,cellular,nov,wed,122,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8
37,management,single,university.degree,no,yes,no,cellular,nov,tue,242,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8
42,admin.,married,university.degree,unknown,no,no,telephone,may,tue,42,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
44,blue-collar,single,professional.course,no,no,no,cellular,may,mon,104,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1
31,admin.,married,high.school,no,yes,no,cellular,may,wed,476,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
31,services,married,high.school,no,no,no,cellular,may,wed,339,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
45,entrepreneur,married,university.degree,unknown,no,no,telephone,jun,wed,262,9,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
33,services,divorced,unknown,no,no,yes,cellular,jul,mon,277,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
29,self-employed,single,university.degree,no,yes,no,cellular,jul,mon,212,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
33,services,divorced,high.school,no,no,no,telephone,may,tue,326,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
32,blue-collar,married,basic.9y,unknown,no,no,cellular,may,tue,548,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
46,admin.,single,high.school,no,yes,no,cellular,nov,mon,199,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6
59,retired,married,basic.9y,no,no,yes,telephone,jun,thu,465,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1
35,unemployed,married,professional.course,no,yes,yes,cellular,dec,thu,62,3,999,1,failure,-3.0,92.713,-33.0,0.707,5023.5
56,retired,married,basic.6y,no,no,no,telephone,may,mon,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
52,admin.,divorced,high.school,no,no,no,cellular,nov,mon,529,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8
35,technician,single,professional.course,no,yes,yes,cellular,aug,thu,55,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
35,blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,92,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
42,services,married,high.school,unknown,no,no,cellular,aug,fri,205,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,31,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
56,management,married,basic.6y,no,yes,no,cellular,jun,tue,910,1,7,2,success,-1.7,94.055,-39.8,0.723,4991.6
30,entrepreneur,married,high.school,no,unknown,unknown,telephone,jun,wed,120,8,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
30,services,single,university.degree,no,yes,no,telephone,sep,mon,8,1,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6
36,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,125,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
32,management,single,university.degree,no,yes,no,cellular,mar,mon,75,2,999,0,nonexistent,-1.8,92.843,-50.0,1.703,5099.1
36,technician,single,high.school,no,yes,no,cellular,jul,wed,243,1,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2
38,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,1504,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
39,admin.,married,university.degree,no,no,no,telephone,jun,thu,370,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
36,blue-collar,married,high.school,no,yes,no,telephone,may,wed,25,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
44,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,186,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
42,admin.,single,university.degree,no,no,no,telephone,jun,fri,298,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,408,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
42,technician,married,university.degree,no,no,no,telephone,jun,fri,4,20,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
37,services,single,high.school,no,yes,no,cellular,may,thu,30,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
26,blue-collar,single,basic.9y,unknown,no,yes,telephone,jun,fri,175,14,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
29,admin.,single,university.degree,no,no,no,cellular,apr,thu,71,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
41,management,married,university.degree,no,yes,no,cellular,nov,tue,57,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
38,technician,married,university.degree,no,yes,no,cellular,may,thu,174,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
36,management,divorced,university.degree,no,unknown,unknown,cellular,may,fri,423,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
41,entrepreneur,single,high.school,no,yes,no,cellular,jul,thu,90,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,53,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
25,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,165,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
44,blue-collar,single,professional.course,no,no,no,cellular,mar,mon,239,1,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1
45,admin.,single,university.degree,no,yes,no,cellular,jul,thu,544,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
57,admin.,married,university.degree,no,yes,no,cellular,may,fri,554,2,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1
42,entrepreneur,single,basic.4y,no,yes,no,cellular,nov,thu,93,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
34,admin.,divorced,high.school,no,yes,yes,cellular,apr,fri,238,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,admin.,married,university.degree,no,yes,no,cellular,aug,mon,286,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
40,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,wed,374,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
43,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,269,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
56,admin.,married,university.degree,no,yes,no,cellular,aug,tue,153,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
40,services,married,high.school,unknown,yes,no,telephone,may,wed,248,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
30,technician,single,professional.course,no,no,no,cellular,aug,mon,48,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
30,technician,single,university.degree,no,no,no,cellular,nov,thu,78,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
37,unemployed,married,high.school,no,no,no,telephone,may,tue,56,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
